text,label
You are a menace,1
You are brain dead,1
You are really dumb,1
What a cheerful person you are,0
You handled that very professionally,0
Have a wonderful weekend,0
You are mentally incompetent,1
I am happy to help you anytime,0
I really enjoy working with you,0
You are a toxic person,1
You loser stay away from me,1
You made my day so much better,0
I admire your dedication,0
You are a filthy rat,1
What a pleasant surprise,0
What a fantastic achievement,0
You are brain dead seriously,1
Today was a good day,0
Your kind are all idiots,1
You stupid fool ruined it,1
Thank you for being there for me,0
Shut your mouth,1
Your advice really helped me,0
You are incompetent trash,1
You worthless excuse,1
You imbecile stop talking,1
You are a complete waste,1
You are an absolute disaster,1
You are very talented,0
I appreciate all your efforts,0
What an imbecile you are,1
Idiot dont talk to me,1
You are a complete moron,1
You are a toxic individual,1
You are very thoughtful,0
This is wonderful news,0
I am so lucky to know you,0
Today was such a productive day,0
You are a true friend,0
You are revolting,1
You are utterly useless,1
You are a blessing to everyone around,0
You are absolutely useless,1
You are a joke,1
The presentation was excellent,0
You are so well-spoken,0
Shut up you fool,1
You are mentally ill,1
You make everything better,0
Shut up and get out,1
I am grateful for everything,0
You are such a positive influence,0
Nobody likes you,1
I really admire your work,0
I hope you feel better soon,0
You are repulsive,1
What a beautiful morning,0
Stop being so pathetically stupid,1
Thank you for your understanding,0
You are a dim-witted fool,1
You are doing really well,0
You are an absolute waste of oxygen,1
Go to hell,1
You are a complete failure,1
You are horrible,1
This is a lovely place,0
You are a selfish pig,1
You always go above and beyond,0
Your existence is pointless,1
Your kindness is inspiring,0
You are an absolute idiot,1
This is such a great opportunity,0
You have been incredibly supportive,0
You filthy liar,1
You always make me smile,0
This meal is delicious,0
You are an embarrassment,1
I feel so blessed,0
Have a nice day,0
I really enjoyed the movie,0
You stupid moron,1
You are the worst kind of person,1
I despise you,1
You are genuinely wonderful,0
I feel so comfortable talking to you,0
You absolute imbecile,1
That is such a creative approach,0
You are a disaster,1
Your presence is calming,0
What an arrogant fool,1
You are disgusting,1
You are an inspiration to all of us,0
Thank you very much,0
You are the worst,1
Stop being so stupid,1
What a refreshing conversation,0
I enjoyed our conversation today,0
You are pathetic,1
You are scum,1
I am so proud of you,0
You are an absolute disgrace,1
I hate you so much,1
I had such a wonderful time,0
You were so helpful today,0
You are such a kind person,0
I appreciate your patience,0
You are worthless trash,1
You are clueless idiot,1
You look wonderful today,0
What a great idea you have,0
What a thoughtful gesture,0
You are useless,1
Your encouragement keeps me going,0
You are so talented and kind,0
You horrible beast,1
I learned so much today,0
You trash get out,1
Pathetic excuse for a human,1
I am really happy with the results,0
You are a piece of trash,1
You are disgusting and vile,1
I am so happy for you,0
You did your best and it shows,0
I am looking forward to working with you,0
What a complete moron,1
Nobody wants you here,1
You have such a kind heart,0
I thoroughly enjoyed the event,0
You are a lying scumbag,1
What a failure you are,1
I love how enthusiastic you are,0
You are a terrible human,1
You deserve nothing,1
I really respect your opinion,0
You are nothing but trouble,1
You always bring joy to others,0
Get lost loser,1
I love spending time with friends,0
You are the dumbest person,1
You have a lovely smile,0
Your enthusiasm is contagious,0
I feel so good after our talk,0
I appreciate your open-mindedness,0
You are beyond stupid,1
I can not stand you,1
You idiot learn something,1
Go away you fool,1
Thank you for your support,0
You are a blundering idiot,1
You are a nasty piece of work,1
You are so full of energy,0
I love your sense of humour,0
You are a rotten individual,1
You dumb creature,1
You make me sick,1
You are pathetically stupid,1
You have a wonderful personality,0
Your help means the world to me,0
You are garbage,1
You are foul,1
Your smile lights up the room,0
The team did wonderfully,0
Your hard work is paying off,0
Thank you for being so understanding,0
You are beyond help,1
What a waste of time you are,1
Congratulations on your success,0
You are a worthless coward,1
I really enjoyed learning from you,0
Go away nobody likes you,1
You fool you ruined everything,1
You failed at everything,1
You are a waste of space,1
You are vile scum,1
You always know the right thing to say,0
You are truly one of a kind,0
I am looking forward to seeing you,0
Stupid people like you ruin everything,1
Your feedback was very useful,0
Your support means everything to me,0
Shut up idiot,1
Just shut up already,1
This is going to be amazing,0
Keep up the fantastic work,0
I love your positive attitude,0
You did a great job,0
You are a brainless moron,1
It was great meeting you,0
You are a horrible monster,1
Your stupidity is unmatched,1
You have done an amazing job,0
I am so glad we met,0
Drop dead you loser,1
I really value your friendship,0
Disgusting behaviour from you,1
The weather is beautiful today,0
You are the worst person ever,1
You know nothing you fool,1
You are very empathetic,0
I appreciate your help,0
